result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    27936, 4155308 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    55872, 4155308 req, miss ratio 0.2402, byte miss ratio 0.2402
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   111745, 4155308 req, miss ratio 0.1589, byte miss ratio 0.1589
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      279, 4155308 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1396, 4155308 req, miss ratio 0.3440, byte miss ratio 0.3440
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     2793, 4155308 req, miss ratio 0.3380, byte miss ratio 0.3380
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     5587, 4155308 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    13968, 4155308 req, miss ratio 0.3089, byte miss ratio 0.3089
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    27936, 4155308 req, miss ratio 0.2859, byte miss ratio 0.2859
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    55872, 4155308 req, miss ratio 0.2306, byte miss ratio 0.2306
result/tencentBlock.ns4586.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   111745, 4155308 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      279, 4155308 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1396, 4155308 req, miss ratio 0.3597, byte miss ratio 0.3597
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2793, 4155308 req, miss ratio 0.3460, byte miss ratio 0.3460
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     5587, 4155308 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    13968, 4155308 req, miss ratio 0.3236, byte miss ratio 0.3236
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    27936, 4155308 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    55872, 4155308 req, miss ratio 0.2402, byte miss ratio 0.2402
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   111745, 4155308 req, miss ratio 0.1589, byte miss ratio 0.1589
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size      279, 4155308 req, miss ratio 0.7242, byte miss ratio 0.7242
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size     1396, 4155308 req, miss ratio 0.5934, byte miss ratio 0.5934
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size     2793, 4155308 req, miss ratio 0.5754, byte miss ratio 0.5754
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size     5587, 4155308 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size    13968, 4155308 req, miss ratio 0.4721, byte miss ratio 0.4721
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size    27936, 4155308 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size    55872, 4155308 req, miss ratio 0.3208, byte miss ratio 0.3208
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size   111745, 4155308 req, miss ratio 0.1994, byte miss ratio 0.1994
