result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      437, 2522262 req, miss ratio 0.2893, byte miss ratio 0.2893
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      874, 2522262 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1748, 2522262 req, miss ratio 0.2684, byte miss ratio 0.2684
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4370, 2522262 req, miss ratio 0.2080, byte miss ratio 0.2080
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     8741, 2522262 req, miss ratio 0.1717, byte miss ratio 0.1717
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    17482, 2522262 req, miss ratio 0.1499, byte miss ratio 0.1499
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    34964, 2522262 req, miss ratio 0.1318, byte miss ratio 0.1318
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size       87, 2522262 req, miss ratio 0.3752, byte miss ratio 0.3752
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      437, 2522262 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      874, 2522262 req, miss ratio 0.2885, byte miss ratio 0.2885
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1748, 2522262 req, miss ratio 0.2735, byte miss ratio 0.2735
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4370, 2522262 req, miss ratio 0.2298, byte miss ratio 0.2298
