result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size    15012, 6465639 req, miss ratio 0.9755, byte miss ratio 0.9755
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9453, byte miss ratio 0.9453
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size    60050, 6465639 req, miss ratio 0.9010, byte miss ratio 0.9010
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size   150126, 6465639 req, miss ratio 0.8680, byte miss ratio 0.8680
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.7355, byte miss ratio 0.7355
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.5235, byte miss ratio 0.5235
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.5057, byte miss ratio 0.5057
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9886, byte miss ratio 0.9886
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size    15012, 6465639 req, miss ratio 0.9763, byte miss ratio 0.9763
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9578, byte miss ratio 0.9578
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size    60050, 6465639 req, miss ratio 0.9129, byte miss ratio 0.9129
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size   150126, 6465639 req, miss ratio 0.8686, byte miss ratio 0.8686
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.8110, byte miss ratio 0.8110
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.5248, byte miss ratio 0.5248
result/msr_proj_4.oracleGeneral                  S4FIFO-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.5057, byte miss ratio 0.5057
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9890, byte miss ratio 0.9890
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    15012, 6465639 req, miss ratio 0.9784, byte miss ratio 0.9784
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9512, byte miss ratio 0.9512
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    60050, 6465639 req, miss ratio 0.9117, byte miss ratio 0.9117
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   150126, 6465639 req, miss ratio 0.8745, byte miss ratio 0.8745
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.7965, byte miss ratio 0.7965
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.6232, byte miss ratio 0.6232
result/msr_proj_4.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.5769, byte miss ratio 0.5769
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9884, byte miss ratio 0.9884
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size    15012, 6465639 req, miss ratio 0.9754, byte miss ratio 0.9754
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9427, byte miss ratio 0.9427
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size    60050, 6465639 req, miss ratio 0.8943, byte miss ratio 0.8943
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size   150126, 6465639 req, miss ratio 0.8680, byte miss ratio 0.8680
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.7295, byte miss ratio 0.7295
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.5235, byte miss ratio 0.5235
result/msr_proj_4.oracleGeneral                  S3FIFO-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.5057, byte miss ratio 0.5057
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     3002, 6465639 req, miss ratio 0.9899, byte miss ratio 0.9899
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    15012, 6465639 req, miss ratio 0.9728, byte miss ratio 0.9728
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    30025, 6465639 req, miss ratio 0.9576, byte miss ratio 0.9576
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    60050, 6465639 req, miss ratio 0.9230, byte miss ratio 0.9230
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   150126, 6465639 req, miss ratio 0.8646, byte miss ratio 0.8646
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   300252, 6465639 req, miss ratio 0.7291, byte miss ratio 0.7291
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   600505, 6465639 req, miss ratio 0.5075, byte miss ratio 0.5075
result/msr_proj_4.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size  1201010, 6465639 req, miss ratio 0.4720, byte miss ratio 0.4720
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3002, 6465639 req, miss ratio 0.9901, byte miss ratio 0.9901
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    15012, 6465639 req, miss ratio 0.9732, byte miss ratio 0.9732
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    30025, 6465639 req, miss ratio 0.9408, byte miss ratio 0.9408
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    60050, 6465639 req, miss ratio 0.8945, byte miss ratio 0.8945
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   150126, 6465639 req, miss ratio 0.8692, byte miss ratio 0.8692
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   300252, 6465639 req, miss ratio 0.7330, byte miss ratio 0.7330
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   600505, 6465639 req, miss ratio 0.5134, byte miss ratio 0.5134
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1201010, 6465639 req, miss ratio 0.4720, byte miss ratio 0.4720
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9891, byte miss ratio 0.9891
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    15012, 6465639 req, miss ratio 0.9762, byte miss ratio 0.9762
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    30025, 6465639 req, miss ratio 0.9417, byte miss ratio 0.9417
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    60050, 6465639 req, miss ratio 0.8937, byte miss ratio 0.8937
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   150126, 6465639 req, miss ratio 0.8669, byte miss ratio 0.8669
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   300252, 6465639 req, miss ratio 0.7233, byte miss ratio 0.7233
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   600505, 6465639 req, miss ratio 0.5233, byte miss ratio 0.5233
result/msr_proj_4.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  1201010, 6465639 req, miss ratio 0.4762, byte miss ratio 0.4762
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3002, 6465639 req, miss ratio 0.9901, byte miss ratio 0.9901
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    15012, 6465639 req, miss ratio 0.9732, byte miss ratio 0.9732
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    30025, 6465639 req, miss ratio 0.9408, byte miss ratio 0.9408
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    60050, 6465639 req, miss ratio 0.8945, byte miss ratio 0.8945
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   150126, 6465639 req, miss ratio 0.8692, byte miss ratio 0.8692
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   300252, 6465639 req, miss ratio 0.7330, byte miss ratio 0.7330
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   600505, 6465639 req, miss ratio 0.5134, byte miss ratio 0.5134
result/msr_proj_4.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1201010, 6465639 req, miss ratio 0.4720, byte miss ratio 0.4720
