result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   331554, 12000000 req, miss ratio 0.0885, byte miss ratio 0.0885
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   663108, 12000000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size      828, 12000000 req, miss ratio 0.9044, byte miss ratio 0.9044
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size     4144, 12000000 req, miss ratio 0.8903, byte miss ratio 0.8903
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size     8288, 12000000 req, miss ratio 0.8822, byte miss ratio 0.8822
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size    16577, 12000000 req, miss ratio 0.8670, byte miss ratio 0.8670
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size    41444, 12000000 req, miss ratio 0.8184, byte miss ratio 0.8184
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size    82888, 12000000 req, miss ratio 0.7479, byte miss ratio 0.7479
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size   165777, 12000000 req, miss ratio 0.6316, byte miss ratio 0.6316
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size   331554, 12000000 req, miss ratio 0.4424, byte miss ratio 0.4424
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      828, 12000000 req, miss ratio 0.8533, byte miss ratio 0.8533
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4144, 12000000 req, miss ratio 0.6835, byte miss ratio 0.6835
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8288, 12000000 req, miss ratio 0.6129, byte miss ratio 0.6129
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    16577, 12000000 req, miss ratio 0.5383, byte miss ratio 0.5383
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    41444, 12000000 req, miss ratio 0.4798, byte miss ratio 0.4798
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    82888, 12000000 req, miss ratio 0.4039, byte miss ratio 0.4039
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   165777, 12000000 req, miss ratio 0.3258, byte miss ratio 0.3258
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   331554, 12000000 req, miss ratio 0.2283, byte miss ratio 0.2283
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      828, 12000000 req, miss ratio 0.4385, byte miss ratio 0.4385
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4144, 12000000 req, miss ratio 0.2548, byte miss ratio 0.2548
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8288, 12000000 req, miss ratio 0.2144, byte miss ratio 0.2144
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    16577, 12000000 req, miss ratio 0.1810, byte miss ratio 0.1810
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    41444, 12000000 req, miss ratio 0.1296, byte miss ratio 0.1296
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    82888, 12000000 req, miss ratio 0.1001, byte miss ratio 0.1001
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   165777, 12000000 req, miss ratio 0.0840, byte miss ratio 0.0840
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   331554, 12000000 req, miss ratio 0.0756, byte miss ratio 0.0756
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      828, 12000000 req, miss ratio 0.4013, byte miss ratio 0.4013
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4144, 12000000 req, miss ratio 0.2355, byte miss ratio 0.2355
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     8288, 12000000 req, miss ratio 0.2054, byte miss ratio 0.2054
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    16577, 12000000 req, miss ratio 0.1767, byte miss ratio 0.1767
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    41444, 12000000 req, miss ratio 0.1327, byte miss ratio 0.1327
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    82888, 12000000 req, miss ratio 0.0860, byte miss ratio 0.0860
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   165777, 12000000 req, miss ratio 0.0738, byte miss ratio 0.0738
result/io_traces.ns378.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   331554, 12000000 req, miss ratio 0.0720, byte miss ratio 0.0720
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      828, 12000000 req, miss ratio 0.4385, byte miss ratio 0.4385
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4144, 12000000 req, miss ratio 0.2548, byte miss ratio 0.2548
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8288, 12000000 req, miss ratio 0.2144, byte miss ratio 0.2144
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    16577, 12000000 req, miss ratio 0.1810, byte miss ratio 0.1810
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    41444, 12000000 req, miss ratio 0.1296, byte miss ratio 0.1296
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    82888, 12000000 req, miss ratio 0.1001, byte miss ratio 0.1001
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   165777, 12000000 req, miss ratio 0.0840, byte miss ratio 0.0840
result/io_traces.ns378.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   331554, 12000000 req, miss ratio 0.0756, byte miss ratio 0.0756
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size      828, 12000000 req, miss ratio 0.9044, byte miss ratio 0.9044
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size     4144, 12000000 req, miss ratio 0.8903, byte miss ratio 0.8903
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size     8288, 12000000 req, miss ratio 0.8822, byte miss ratio 0.8822
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size    16577, 12000000 req, miss ratio 0.8670, byte miss ratio 0.8670
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size    41444, 12000000 req, miss ratio 0.8184, byte miss ratio 0.8184
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size    82888, 12000000 req, miss ratio 0.7479, byte miss ratio 0.7479
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size   165777, 12000000 req, miss ratio 0.6316, byte miss ratio 0.6316
result/io_traces.ns378.oracleGeneral.bin                              LFU cache size   331554, 12000000 req, miss ratio 0.4424, byte miss ratio 0.4424
