result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    97733, 7795815 req, miss ratio 0.1944, byte miss ratio 0.1944
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   195466, 7795815 req, miss ratio 0.0914, byte miss ratio 0.0914
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      488, 7795815 req, miss ratio 0.6409, byte miss ratio 0.6409
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     2443, 7795815 req, miss ratio 0.5406, byte miss ratio 0.5406
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     4886, 7795815 req, miss ratio 0.5326, byte miss ratio 0.5326
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     9773, 7795815 req, miss ratio 0.5237, byte miss ratio 0.5237
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    24433, 7795815 req, miss ratio 0.4413, byte miss ratio 0.4413
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    48866, 7795815 req, miss ratio 0.2429, byte miss ratio 0.2429
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    97733, 7795815 req, miss ratio 0.1802, byte miss ratio 0.1802
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   195466, 7795815 req, miss ratio 0.0719, byte miss ratio 0.0719
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      488, 7795815 req, miss ratio 0.6703, byte miss ratio 0.6703
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2443, 7795815 req, miss ratio 0.5461, byte miss ratio 0.5461
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     4886, 7795815 req, miss ratio 0.5347, byte miss ratio 0.5347
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9773, 7795815 req, miss ratio 0.5260, byte miss ratio 0.5260
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    24433, 7795815 req, miss ratio 0.5042, byte miss ratio 0.5042
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    48866, 7795815 req, miss ratio 0.2550, byte miss ratio 0.2550
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    97733, 7795815 req, miss ratio 0.1944, byte miss ratio 0.1944
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   195466, 7795815 req, miss ratio 0.0914, byte miss ratio 0.0914
