result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size   309040, 23639742 req, miss ratio 0.8226, byte miss ratio 0.8226
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size   772600, 23639742 req, miss ratio 0.7390, byte miss ratio 0.7390
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size  1545200, 23639742 req, miss ratio 0.6859, byte miss ratio 0.6859
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size  3090400, 23639742 req, miss ratio 0.6820, byte miss ratio 0.6820
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size  6180800, 23639742 req, miss ratio 0.6671, byte miss ratio 0.6671
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size    15452, 23639742 req, miss ratio 0.9392, byte miss ratio 0.9392
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size    77260, 23639742 req, miss ratio 0.8869, byte miss ratio 0.8869
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size   154520, 23639742 req, miss ratio 0.8665, byte miss ratio 0.8665
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size   309040, 23639742 req, miss ratio 0.8332, byte miss ratio 0.8332
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size   772600, 23639742 req, miss ratio 0.7338, byte miss ratio 0.7338
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size  1545200, 23639742 req, miss ratio 0.6864, byte miss ratio 0.6864
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size  3090400, 23639742 req, miss ratio 0.6822, byte miss ratio 0.6822
result/msr_proj_1.oracleGeneral                  S4FIFO-0.1000-2 cache size  6180800, 23639742 req, miss ratio 0.6671, byte miss ratio 0.6671
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    15452, 23639742 req, miss ratio 0.9401, byte miss ratio 0.9401
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size    77260, 23639742 req, miss ratio 0.8893, byte miss ratio 0.8893
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   154520, 23639742 req, miss ratio 0.8707, byte miss ratio 0.8707
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   309040, 23639742 req, miss ratio 0.8339, byte miss ratio 0.8339
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size   772600, 23639742 req, miss ratio 0.7733, byte miss ratio 0.7733
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size  1545200, 23639742 req, miss ratio 0.7682, byte miss ratio 0.7682
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size  3090400, 23639742 req, miss ratio 0.7596, byte miss ratio 0.7596
result/msr_proj_1.oracleGeneral       S3FIFO_TIME_DELAY-0.1000-2 cache size  6180800, 23639742 req, miss ratio 0.7516, byte miss ratio 0.7516
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    15452, 23639742 req, miss ratio 0.9393, byte miss ratio 0.9393
result/msr_proj_1.oracleGeneral                  S3FIFO-0.1000-2 cache size    77260, 23639742 req, miss ratio 0.8870, byte miss ratio 0.8870
